variant,horizon,slippage_bps,partition,population,samples,stocks,signal_dates,entry_dates,total_input_signals,condition_passed_signals,unsupported_signals,filter_rejected_signals,overlap_blocked_signals,missing_entry_signals,entry_after_as_of_signals,immature_positions,missing_exit_positions,purged_positions,anomaly_candidate_positions,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,mean_net_return_pct,median_net_return_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,formal_use,promotion_evidence_allowed
baseline,20,0,all,primary,13625,1907,221,221,210140,210140,0,0,195125,73,30,1219,68,1287,466,5610,0,8015,41.174311926605505,0.0,58.8256880733945,0.8051140101734278,-1.4412005994905535,14.187155963302752,13.746788990825687,-90.05841675612253,168.69143902371553,False,False
baseline,20,0,all,sensitivity_excluding_candidates,13159,1906,221,221,210140,210140,0,0,195125,73,30,1219,68,1218,0,5166,0,7993,39.25830230260658,0.0,60.74169769739341,-1.000882434461339,-1.6798418972332017,11.315449502241812,14.066418420852647,-36.61698019187287,34.59144931366356,False,False
baseline,20,10,all,primary,13625,1907,221,221,210140,210140,0,0,195125,73,30,1219,68,1287,466,5470,0,8155,40.14678899082569,0.0,59.85321100917431,0.6037053156956139,-1.6381212776134495,13.849541284403669,14.194495412844036,-90.07828005930709,168.15459299170013,False,False
baseline,20,10,all,sensitivity_excluding_candidates,13159,1906,221,221,210140,210140,0,0,195125,73,30,1219,68,1218,0,5026,0,8133,38.19439167109962,0.0,61.80560832890038,-1.198683447886886,-1.8762894739439888,10.965878866175242,14.529979481723535,-36.743619592088905,34.32253532902088,False,False
baseline,20,20,all,primary,13625,1907,221,221,210140,210140,0,0,195125,73,30,1219,68,1287,466,5302,0,8323,38.913761467889906,0.0,61.086238532110094,0.4026984997704925,-1.8346489004905913,13.61467889908257,14.664220183486238,-90.09810371517992,167.6188185086508,False,False
baseline,20,20,all,sensitivity_excluding_candidates,13159,1906,221,221,210140,210140,0,0,195125,73,30,1219,68,1218,0,4858,0,8301,36.91769891329129,0.0,63.08230108670871,-1.396089785117529,-2.0723457131023055,10.722699293259366,15.016338627555283,-36.87000621905102,34.054158098838556,False,False
baseline,20,0,training,primary,7272,1840,110,110,99756,99756,0,0,92412,36,0,0,36,0,178,2827,0,4445,38.875137513751376,0.0,61.124862486248624,0.16528257572774152,-1.6949589851221785,12.16996699669967,12.72002200220022,-90.05841675612253,160.690405061676,False,False
baseline,20,0,training,sensitivity_excluding_candidates,7094,1833,110,110,99756,99756,0,0,92412,36,0,0,36,0,0,2656,0,4438,37.44009021708486,0.0,62.559909782915135,-1.1198386109740188,-1.8701353653916835,10.064843529743445,12.940513109670142,-35.29883245536562,34.59144931366356,False,False
baseline,20,10,training,primary,7272,1840,110,110,99756,99756,0,0,92412,36,0,0,36,0,178,2755,0,4517,37.88503850385038,0.0,62.11496149614961,-0.03484721758126856,-1.8913726534835729,11.867436743674368,13.063806380638063,-90.07828005930709,160.16954511150283,False,False
baseline,20,10,training,sensitivity_excluding_candidates,7094,1833,110,110,99756,99756,0,0,92412,36,0,0,36,0,0,2584,0,4510,36.425148012404854,0.0,63.574851987595146,-1.3174015817660014,-2.0661990309952967,9.754722300535663,13.292923597406258,-35.428105517392865,34.32253532902088,False,False
baseline,20,20,training,primary,7272,1840,110,110,99756,99756,0,0,92412,36,0,0,36,0,178,2661,0,4611,36.59240924092409,0.0,63.4075907590759,-0.23457766889494444,-2.087394278594745,11.688668866886688,13.600110011001101,-90.09810371517992,159.64972480194876,False,False
baseline,20,20,training,sensitivity_excluding_candidates,7094,1833,110,110,99756,99756,0,0,92412,36,0,0,36,0,0,2490,0,4604,35.100084578517055,0.0,64.89991542148294,-1.5145703332205784,-2.2618713519569864,9.571468846912884,13.842683958274598,-35.55712054935618,34.054158098838556,False,False
