trade_id,stock_id,stock_name,signal_date,horizon,slippage_bps,entry_date,exit_date,entry_open,exit_close,source_shares,source_signal_sha256,source_trade_sha256,source_row_json,matched_event_ids,known_event_share_balance,eligible_whole_share_component,unresolved_fractional_share_component,pending_share_rights,announced_gross_cash_entitlement,unsettled_gross_cash_entitlement,confirmed_cash_receipt,corporate_action_status,block_reasons,original_strict_v3_status,strict_lock_released,original_proxy_net_return_pct,verified_total_return_pct,coverage_complete,anomaly_disposition,primary_row_retained,formal_use,promotion_evidence_allowed,total_return_verified
20260615:6669:D5:S0,6669,緯穎,20260615,5,0,20260616,20260624,5030.0,4605.0,1000,07c12ba269bf361f2bb57f314542ade468da1d19dc00a1d9ab508585dc62e408,b304bf0e31f3217615d67075a8d6f9596848334420ee2a2b372bed00ddcc69eb,"{""anomaly_candidate"":""False"",""buy_fee"":""7167.7500000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""5037167.7500000"",""entry_date"":""20260616"",""entry_notional"":""5030000.0"",""entry_open"":""5030.0"",""entry_source_path"":""data/daily_price/20260616.csv"",""entry_source_sha256"":""a2970372e5be009a258e9fe008b91441d60dbd9601441b08cfd2559aa31bef6c"",""exit_close"":""4605.0"",""exit_date"":""20260624"",""exit_notional"":""4605000.0"",""exit_source_path"":""data/daily_price/20260624.csv"",""exit_source_sha256"":""d83ab0372e092a0fcf7ca3b7763d303ab2450389a3bfa740b652cdf44f090de7"",""formal_use"":""False"",""gross_return_pct"":""-8.4493041749502982107355864811133200795228628230620"",""history_gap_count"":""3"",""horizon"":""5"",""input_ref"":""af71f09d64aabbbadf9481940590dce21cd8e263"",""market"":""TWSE"",""net_exit_cash"":""4584622.8750000"",""net_pnl"":""-452544.8750000"",""net_return_pct"":""-8.9841136420362414970198282556700637972598788277401"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""A_pages_checkout"",""sell_fee"":""6562.1250000"",""sell_tax"":""13815.0000"",""shares"":""1000"",""signal_date"":""20260615"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""0"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260615:6669:D5:S0""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-8.9841136420362414970198282556700637972598788277401,,False,not_finally_classified,True,False,False,False
20260615:6669:D5:S10,6669,緯穎,20260615,5,10,20260616,20260624,5030.0,4605.0,1000,07c12ba269bf361f2bb57f314542ade468da1d19dc00a1d9ab508585dc62e408,e28d9599322f60b0fd1260f34ec39625766d5495ad457d2b8dc1594e8ae1c3a1,"{""anomaly_candidate"":""False"",""buy_fee"":""7174.9177500000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""5042204.9177500000"",""entry_date"":""20260616"",""entry_notional"":""5035030.0000"",""entry_open"":""5030.0"",""entry_source_path"":""data/daily_price/20260616.csv"",""entry_source_sha256"":""a2970372e5be009a258e9fe008b91441d60dbd9601441b08cfd2559aa31bef6c"",""exit_close"":""4605.0"",""exit_date"":""20260624"",""exit_notional"":""4600395.0000"",""exit_source_path"":""data/daily_price/20260624.csv"",""exit_source_sha256"":""d83ab0372e092a0fcf7ca3b7763d303ab2450389a3bfa740b652cdf44f090de7"",""formal_use"":""False"",""gross_return_pct"":""-8.4493041749502982107355864811133200795228628230620"",""history_gap_count"":""3"",""horizon"":""5"",""input_ref"":""af71f09d64aabbbadf9481940590dce21cd8e263"",""market"":""TWSE"",""net_exit_cash"":""4580038.2521250000"",""net_pnl"":""-462166.6656250000"",""net_return_pct"":""-9.1659635648293758796431652621522414919706483006117"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""A_pages_checkout"",""sell_fee"":""6555.5628750000"",""sell_tax"":""13801.1850000"",""shares"":""1000"",""signal_date"":""20260615"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""10"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260615:6669:D5:S10""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-9.1659635648293758796431652621522414919706483006117,,False,not_finally_classified,True,False,False,False
20260615:6669:D5:S20,6669,緯穎,20260615,5,20,20260616,20260624,5030.0,4605.0,1000,07c12ba269bf361f2bb57f314542ade468da1d19dc00a1d9ab508585dc62e408,33f5eff4e395ad11f7368631e253ef03c91a7bd3908a5143b974904a1e10cdc4,"{""anomaly_candidate"":""False"",""buy_fee"":""7182.0855000000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""5047242.0855000000"",""entry_date"":""20260616"",""entry_notional"":""5040060.0000"",""entry_open"":""5030.0"",""entry_source_path"":""data/daily_price/20260616.csv"",""entry_source_sha256"":""a2970372e5be009a258e9fe008b91441d60dbd9601441b08cfd2559aa31bef6c"",""exit_close"":""4605.0"",""exit_date"":""20260624"",""exit_notional"":""4595790.0000"",""exit_source_path"":""data/daily_price/20260624.csv"",""exit_source_sha256"":""d83ab0372e092a0fcf7ca3b7763d303ab2450389a3bfa740b652cdf44f090de7"",""formal_use"":""False"",""gross_return_pct"":""-8.4493041749502982107355864811133200795228628230620"",""history_gap_count"":""3"",""horizon"":""5"",""input_ref"":""af71f09d64aabbbadf9481940590dce21cd8e263"",""market"":""TWSE"",""net_exit_cash"":""4575453.6292500000"",""net_pnl"":""-471788.4562500000"",""net_return_pct"":""-9.3474505137247195748760365261065106483686218264317"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""A_pages_checkout"",""sell_fee"":""6549.0007500000"",""sell_tax"":""13787.3700000"",""shares"":""1000"",""signal_date"":""20260615"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""20"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260615:6669:D5:S20""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-9.3474505137247195748760365261065106483686218264317,,False,not_finally_classified,True,False,False,False
20260626:6669:D5:S0,6669,緯穎,20260626,5,0,20260629,20260706,4350.0,5035.0,1000,52c9c9f7fdd7746b5eac10b25fc85d5208cc4cfba6022c18e116c078f48df604,936ca6da1e24d286ba8b1ea3232c4e18ce96f86eb82fe6b7902f849bb836e3d9,"{""anomaly_candidate"":""False"",""buy_fee"":""6198.7500000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""4356198.7500000"",""entry_date"":""20260629"",""entry_notional"":""4350000.0"",""entry_open"":""4350.0"",""entry_source_path"":""data/daily_price/20260629.csv"",""entry_source_sha256"":""b1291bf7f405b215e0a800e2ef35a363e1848ec9db716977020cd1edbfe91b83"",""exit_close"":""5035.0"",""exit_date"":""20260706"",""exit_notional"":""5035000.0"",""exit_source_path"":""data/daily_price/20260706.csv"",""exit_source_sha256"":""c7e3aeba582481aa00f8a18553ca5651b853a8fd8fb2e52397d1d40c3e37adcd"",""formal_use"":""False"",""gross_return_pct"":""15.747126436781609195402298850574712643678160919540"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""919cf972a1a34b8e73bf386dbe5c2d8d414caccc"",""market"":""TWSE"",""net_exit_cash"":""5012720.1250000"",""net_pnl"":""656521.3750000"",""net_return_pct"":""15.070969271087550814801551467319988556536820088845"",""outcome"":""win"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260626"",""sell_fee"":""7174.8750000"",""sell_tax"":""15105.0000"",""shares"":""1000"",""signal_date"":""20260626"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""0"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260626:6669:D5:S0""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,15.070969271087550814801551467319988556536820088845,,False,not_finally_classified,True,False,False,False
20260626:6669:D5:S10,6669,緯穎,20260626,5,10,20260629,20260706,4350.0,5035.0,1000,52c9c9f7fdd7746b5eac10b25fc85d5208cc4cfba6022c18e116c078f48df604,b04a885a3f7047227b13f8acfb97490716eba6894a2e06fc96aedfcb1aaa7da9,"{""anomaly_candidate"":""False"",""buy_fee"":""6204.9487500000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""4360554.9487500000"",""entry_date"":""20260629"",""entry_notional"":""4354350.0000"",""entry_open"":""4350.0"",""entry_source_path"":""data/daily_price/20260629.csv"",""entry_source_sha256"":""b1291bf7f405b215e0a800e2ef35a363e1848ec9db716977020cd1edbfe91b83"",""exit_close"":""5035.0"",""exit_date"":""20260706"",""exit_notional"":""5029965.0000"",""exit_source_path"":""data/daily_price/20260706.csv"",""exit_source_sha256"":""c7e3aeba582481aa00f8a18553ca5651b853a8fd8fb2e52397d1d40c3e37adcd"",""formal_use"":""False"",""gross_return_pct"":""15.747126436781609195402298850574712643678160919540"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""919cf972a1a34b8e73bf386dbe5c2d8d414caccc"",""market"":""TWSE"",""net_exit_cash"":""5007707.4048750000"",""net_pnl"":""647152.4561250000"",""net_return_pct"":""14.841057244571891372614135780072595972008274993762"",""outcome"":""win"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260626"",""sell_fee"":""7167.7001250000"",""sell_tax"":""15089.8950000"",""shares"":""1000"",""signal_date"":""20260626"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""10"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260626:6669:D5:S10""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,14.841057244571891372614135780072595972008274993762,,False,not_finally_classified,True,False,False,False
20260626:6669:D5:S20,6669,緯穎,20260626,5,20,20260629,20260706,4350.0,5035.0,1000,52c9c9f7fdd7746b5eac10b25fc85d5208cc4cfba6022c18e116c078f48df604,12a10eb0687ab99928995d8e2e926d5299c82d70f52be1f37a11a494d648a00e,"{""anomaly_candidate"":""False"",""buy_fee"":""6211.1475000000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""4364911.1475000000"",""entry_date"":""20260629"",""entry_notional"":""4358700.0000"",""entry_open"":""4350.0"",""entry_source_path"":""data/daily_price/20260629.csv"",""entry_source_sha256"":""b1291bf7f405b215e0a800e2ef35a363e1848ec9db716977020cd1edbfe91b83"",""exit_close"":""5035.0"",""exit_date"":""20260706"",""exit_notional"":""5024930.0000"",""exit_source_path"":""data/daily_price/20260706.csv"",""exit_source_sha256"":""c7e3aeba582481aa00f8a18553ca5651b853a8fd8fb2e52397d1d40c3e37adcd"",""formal_use"":""False"",""gross_return_pct"":""15.747126436781609195402298850574712643678160919540"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""919cf972a1a34b8e73bf386dbe5c2d8d414caccc"",""market"":""TWSE"",""net_exit_cash"":""5002694.6847500000"",""net_pnl"":""637783.5372500000"",""net_return_pct"":""14.611604124296782148874199964456435708007730986694"",""outcome"":""win"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260626"",""sell_fee"":""7160.5252500000"",""sell_tax"":""15074.7900000"",""shares"":""1000"",""signal_date"":""20260626"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""20"",""stock_id"":""6669"",""stock_name"":""緯穎"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260626:6669:D5:S20""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,14.611604124296782148874199964456435708007730986694,,False,not_finally_classified,True,False,False,False
20260706:4747:D5:S0,4747,強生製藥,20260706,5,0,20260707,20260715,48.65,49.0,1000,69eb87c9eb3d2eb1aab70456bacfa57b2f3da2796ffa80646dfa531bd50fa9ff,00748e915d6e8cd5843c1c47670f6d25cf57c6ed8bb579ab56e11549d145c654,"{""anomaly_candidate"":""False"",""buy_fee"":""69.32625000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""48719.32625000"",""entry_date"":""20260707"",""entry_notional"":""48650.00"",""entry_open"":""48.65"",""entry_source_path"":""data/daily_price/20260707.csv"",""entry_source_sha256"":""36cfaa1952df9b0b28240d1543c22344a1b8b0d554ce7d45a54587c78911552e"",""exit_close"":""49.0"",""exit_date"":""20260715"",""exit_notional"":""49000.0"",""exit_source_path"":""data/daily_price/20260715.csv"",""exit_source_sha256"":""52e4773de2880da63becd84c41439e4d577d0fd1900c8a56e176086a109448e9"",""formal_use"":""False"",""gross_return_pct"":""0.7194244604316546762589928057553956834532374100700"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""a88d15cb9c05a9334a5e8381ef3c5af434167744"",""market"":""TPEx"",""net_exit_cash"":""48783.1750000"",""net_pnl"":""63.84875000"",""net_return_pct"":""0.13105425488103912356546597357758000604534222186621"",""outcome"":""win"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260706"",""sell_fee"":""69.8250000"",""sell_tax"":""147.0000"",""shares"":""1000"",""signal_date"":""20260706"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""0"",""stock_id"":""4747"",""stock_name"":""強生製藥"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260706:4747:D5:S0""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,0.13105425488103912356546597357758000604534222186621,,False,not_finally_classified,True,False,False,False
20260706:4747:D5:S10,4747,強生製藥,20260706,5,10,20260707,20260715,48.65,49.0,1000,69eb87c9eb3d2eb1aab70456bacfa57b2f3da2796ffa80646dfa531bd50fa9ff,5d1b5d1244b4fc772bef7b3020bfa2812cc0281aed1c6b4a4e4777c7000f1406,"{""anomaly_candidate"":""False"",""buy_fee"":""69.39557625000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""48768.04557625000"",""entry_date"":""20260707"",""entry_notional"":""48698.65000"",""entry_open"":""48.65"",""entry_source_path"":""data/daily_price/20260707.csv"",""entry_source_sha256"":""36cfaa1952df9b0b28240d1543c22344a1b8b0d554ce7d45a54587c78911552e"",""exit_close"":""49.0"",""exit_date"":""20260715"",""exit_notional"":""48951.0000"",""exit_source_path"":""data/daily_price/20260715.csv"",""exit_source_sha256"":""52e4773de2880da63becd84c41439e4d577d0fd1900c8a56e176086a109448e9"",""formal_use"":""False"",""gross_return_pct"":""0.7194244604316546762589928057553956834532374100700"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""a88d15cb9c05a9334a5e8381ef3c5af434167744"",""market"":""TPEx"",""net_exit_cash"":""48734.3918250000"",""net_pnl"":""-33.65375125000"",""net_return_pct"":""-0.069007791582259655902197295100896677283419700654996"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260706"",""sell_fee"":""69.7551750000"",""sell_tax"":""146.8530000"",""shares"":""1000"",""signal_date"":""20260706"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""10"",""stock_id"":""4747"",""stock_name"":""強生製藥"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260706:4747:D5:S10""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-0.069007791582259655902197295100896677283419700654996,,False,not_finally_classified,True,False,False,False
20260706:4747:D5:S20,4747,強生製藥,20260706,5,20,20260707,20260715,48.65,49.0,1000,69eb87c9eb3d2eb1aab70456bacfa57b2f3da2796ffa80646dfa531bd50fa9ff,53a26d5e8e19e7f2750fba4f552385674150e7b1341f1361ecf39053fefd7948,"{""anomaly_candidate"":""False"",""buy_fee"":""69.46490250000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""48816.76490250000"",""entry_date"":""20260707"",""entry_notional"":""48747.30000"",""entry_open"":""48.65"",""entry_source_path"":""data/daily_price/20260707.csv"",""entry_source_sha256"":""36cfaa1952df9b0b28240d1543c22344a1b8b0d554ce7d45a54587c78911552e"",""exit_close"":""49.0"",""exit_date"":""20260715"",""exit_notional"":""48902.0000"",""exit_source_path"":""data/daily_price/20260715.csv"",""exit_source_sha256"":""52e4773de2880da63becd84c41439e4d577d0fd1900c8a56e176086a109448e9"",""formal_use"":""False"",""gross_return_pct"":""0.7194244604316546762589928057553956834532374100700"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""a88d15cb9c05a9334a5e8381ef3c5af434167744"",""market"":""TPEx"",""net_exit_cash"":""48685.6086500000"",""net_pnl"":""-131.15625250000"",""net_return_pct"":""-0.26867051260351592283599297242472570256162521215321"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260706"",""sell_fee"":""69.6853500000"",""sell_tax"":""146.7060000"",""shares"":""1000"",""signal_date"":""20260706"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""20"",""stock_id"":""4747"",""stock_name"":""強生製藥"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260706:4747:D5:S20""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-0.26867051260351592283599297242472570256162521215321,,False,not_finally_classified,True,False,False,False
20260706:5386:D5:S0,5386,青雲,20260706,5,0,20260707,20260715,443.0,373.5,1000,b31010c8e6175a298e0bf90abfe95807227474e6f56cf21e9ca289bbac03a2c5,5b654ee2ed1ba1bac27ebd5846be0689579ec8e3aa45053d921d994daaa5211f,"{""anomaly_candidate"":""False"",""buy_fee"":""631.2750000"",""ca_cashflow_assumption"":""not_applied_not_asserted_absent"",""entry_cash"":""443631.2750000"",""entry_date"":""20260707"",""entry_notional"":""443000.0"",""entry_open"":""443.0"",""entry_source_path"":""data/daily_price/20260707.csv"",""entry_source_sha256"":""36cfaa1952df9b0b28240d1543c22344a1b8b0d554ce7d45a54587c78911552e"",""exit_close"":""373.5"",""exit_date"":""20260715"",""exit_notional"":""373500.0"",""exit_source_path"":""data/daily_price/20260715.csv"",""exit_source_sha256"":""52e4773de2880da63becd84c41439e4d577d0fd1900c8a56e176086a109448e9"",""formal_use"":""False"",""gross_return_pct"":""-15.688487584650112866817155756207674943566591422122"",""history_gap_count"":""0"",""horizon"":""5"",""input_ref"":""a88d15cb9c05a9334a5e8381ef3c5af434167744"",""market"":""TPEx"",""net_exit_cash"":""371847.2625000"",""net_pnl"":""-71784.0125000"",""net_return_pct"":""-16.181008090558989557262390934904217472043647058021"",""outcome"":""failure"",""outcome_ref"":""40cee0405390a9ccaf3a1ad0778aa1e680ab8252"",""primary_row_retained"":""True"",""promotion_evidence_allowed"":""False"",""receipt_id"":""source_receipt_20260706"",""sell_fee"":""532.2375000"",""sell_tax"":""1120.5000"",""shares"":""1000"",""signal_date"":""20260706"",""simulation_status"":""realized_raw_price_proxy"",""slippage_bps"":""0"",""stock_id"":""5386"",""stock_name"":""青雲"",""strict_missing_evidence"":""corporate_action_complete_coverage;calendar_event_full_audit"",""strict_v3_status"":""blocked_calendar_unverified"",""total_return_verified"":""False"",""trade_id"":""20260706:5386:D5:S0""}",,1000,1000,0,0,,,,no_registered_action_in_window,corporate_action_coverage_incomplete;no_event_is_not_absence_proof;retrospective_documents_not_signal_pit,blocked_calendar_unverified,False,-16.181008090558989557262390934904217472043647058021,,False,not_finally_classified,True,False,False,False
