horizon,slippage_bps,population,realized_raw_price_proxy_positions,total_input_signals,proxy_no_entry_signals,proxy_immature_positions,proxy_unresolved_exit_positions,strict_verified_total_return_positions,denominator,win_count,neutral_count,failure_count,mean_net_return_pct,median_net_return_pct,win_rate_pct,neutral_rate_pct,failure_rate_pct,high_return_ge10_rate_pct,loss_le_minus10_rate_pct,min_net_return_pct,max_net_return_pct,anomaly_candidate_positions,caveat,gap_present_positions,gap_present_mean_return_pct,gap_present_median_return_pct,gap_present_win_rate_pct,gap_absent_positions,gap_absent_mean_return_pct,gap_absent_median_return_pct,gap_absent_win_rate_pct
5,0,primary_including_anomaly_candidates,34775,210140,174416,830,119,0,realized_raw_price_proxy_positions,13320,0,21455,-0.31524575648993514,-0.9593216458998757,38.30337886412652,0.0,61.69662113587348,5.716750539180445,3.7699496764917324,-43.10101775855482,72.8665886405989,953,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,981,-0.6810939642269265,-0.9379605592280111,33.23139653414883,33794,-0.30462561410400896,-0.9616801768607222,38.45061253476948
5,0,sensitivity_excluding_anomaly_candidates,33822,210140,174416,830,119,0,realized_raw_price_proxy_positions,12483,0,21339,-0.8837276828480055,-1.0340129568758185,36.90792974986695,0.0,63.09207025013305,3.403110401513808,3.5332032404943527,-18.81040350833396,16.93876693337893,0,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,967,-0.899833769766822,-0.9510156514052346,32.67838676318511,32855,-0.8832536427916825,-1.0402034898434869,37.03241515751027
5,10,primary_including_anomaly_candidates,34775,210140,174416,830,119,0,realized_raw_price_proxy_positions,12617,0,22158,-0.514416390791199,-1.157205119134841,36.281811646297626,0.0,63.718188353702374,5.584471603163192,3.962616822429907,-43.21482831463704,72.52120085110721,953,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,981,-0.879533624931471,-1.1358867119568263,31.19266055045872,33794,-0.5038174677074679,-1.1595606450449256,36.429543705983306
5,10,sensitivity_excluding_anomaly_candidates,33822,210140,174416,830,119,0,realized_raw_price_proxy_positions,11780,0,22042,-1.081762651731928,-1.2317471967222204,34.8294009816096,0.0,65.17059901839039,3.267104251670511,3.7312991543965466,-18.97262048434128,16.705123043402146,0,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,967,-1.0978361081052312,-1.1489157200337956,30.610134436401243,32855,-1.081289572069381,-1.2379253609926506,34.9535839293867
5,20,primary_including_anomaly_candidates,34775,210140,174416,830,119,0,realized_raw_price_proxy_positions,11935,0,22840,-0.713189696290674,-1.3546936153773212,34.32063263838965,0.0,65.67936736161035,5.443565780014378,4.169662113587347,-43.328411703940645,72.17650245840092,953,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,981,-1.0775776166325821,-1.333417802504546,28.23649337410805,33794,-0.7026119443271476,-1.357046723198329,34.49724803219507
5,20,sensitivity_excluding_anomaly_candidates,33822,210140,174416,830,119,0,realized_raw_price_proxy_positions,11098,0,22724,-1.2794025625161176,-1.4290867574471724,32.812961977411156,0.0,67.18703802258885,3.122228135533085,3.9441783454556205,-19.13451367396935,16.47194550849518,0,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,967,-1.2954436511224507,-1.3464207785453335,27.611168562564632,32855,-1.2789304355131554,-1.435252577708383,32.96606300410897
10,0,primary_including_anomaly_candidates,22247,210140,186691,1098,104,0,realized_raw_price_proxy_positions,8904,0,13343,0.037247311089922804,-1.1395632731737162,40.023373938059066,0.0,59.97662606194094,9.44846496156785,7.182990965073943,-88.16478185252681,109.8778684818578,635,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,681,-0.8898237046241156,-1.0480050376114503,34.50807635829663,21566,0.0665218803981515,-1.1463688095865163,40.197533154038766
10,0,sensitivity_excluding_anomaly_candidates,21612,210140,186691,1098,104,0,realized_raw_price_proxy_positions,8340,0,13272,-0.8186652531856017,-1.2536344463348483,38.589672404219876,0.0,61.410327595780124,7.116416805478439,7.065519156024432,-25.302311692177444,23.805849997087485,0,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,670,-1.115846737240661,-1.0542844632688273,34.02985074626866,20942,-0.8091574891555716,-1.265097920394944,38.73555534332919
10,10,primary_including_anomaly_candidates,22247,210140,186691,1098,104,0,realized_raw_price_proxy_positions,8570,0,13677,-0.16262746448779708,-1.3370866232772654,38.52204791657302,0.0,61.47795208342698,9.246190497595181,7.5425900121364675,-88.18842864203226,109.45853208129465,635,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,681,-1.0878471102230511,-1.2457113212525863,33.03964757709251,21566,-0.1334113567837394,-1.343878562214715,38.6951683205045
10,10,sensitivity_excluding_anomaly_candidates,21612,210140,186691,1098,104,0,realized_raw_price_proxy_positions,8006,0,13606,-1.0168302145201222,-1.4509298820065069,37.04423468443457,0.0,62.95576531556543,6.908199148621136,7.435683879326301,-25.451557822662604,23.558485661428968,0,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,670,-1.3134186384169648,-1.2519782006049534,32.537313432835816,20942,-1.0073414243371939,-1.4623704520225267,37.1884251742909
10,20,primary_including_anomaly_candidates,22247,210140,186691,1098,104,0,realized_raw_price_proxy_positions,8224,0,14023,-0.36210353328968864,-1.5342157151969749,36.9667820380276,0.0,63.0332179619724,8.963006248033443,7.8347642378747695,-88.21202823235704,109.04003267953502,635,raw_unadjusted_price_proxy_not_verified_total_return;not_performance_promotion_evidence,681,-1.2854755698744071,-1.4430229815730813,30.2496328928047,21566,-0.3329457684323116,-1.5409940837997436,37.17889270147454
